arrow::ARROW_VERSION	constant	arrow	api/arrow.md	2	0	Arrow crate version
arrow::error::Result	type_alias	arrow	api/arrow.error.md	0	0	A specialized `Result` type for Arrow operations.
arrow::tensor::BooleanTensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [BooleanType]
arrow::tensor::Date32Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int8Type]
arrow::tensor::Date64Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int16Type]
arrow::tensor::Decimal128Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Decimal128Type]
arrow::tensor::Decimal256Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Decimal256Type]
arrow::tensor::Decimal32Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Decimal32Type]
arrow::tensor::Decimal64Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Decimal64Type]
arrow::tensor::DurationMicrosecondTensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [DurationMicrosecondType]
arrow::tensor::DurationMillisecondTensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [DurationMillisecondType]
arrow::tensor::DurationNanosecondTensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [DurationNanosecondType]
arrow::tensor::DurationSecondTensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [DurationSecondType]
arrow::tensor::Float16Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Float16Type]
arrow::tensor::Float32Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Float32Type]
arrow::tensor::Float64Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Float64Type]
arrow::tensor::Int16Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int16Type]
arrow::tensor::Int32Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int32Type]
arrow::tensor::Int64Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int64Type]
arrow::tensor::Int8Tensor	type_alias	arrow	api/arrow.tensor.md	0	0	[Tensor] of type [Int8Type]
